alternation_min,pattern_dist_max,pct_regular,pct_monoculture,pct_irregular,n_pixels
0.5,3,34.79,6.04,59.17,2084112
0.55,3,34.48,6.04,59.48,2084112
0.6,3,32.44,6.04,61.51,2084112
0.65,3,31.88,6.04,62.08,2084112
0.7,3,28.15,6.04,65.81,2084112
0.5,4,46.67,6.04,47.29,2084112
0.55,4,45.51,6.04,48.45,2084112
0.6,4,41.65,6.04,52.3,2084112
0.65,4,40.15,6.04,53.81,2084112
0.7,4,33.42,6.04,60.54,2084112
0.5,5,56.58,6.04,37.38,2084112
0.55,5,54.18,6.04,39.78,2084112
0.6,5,48.75,6.04,45.21,2084112
0.65,5,45.62,6.04,48.34,2084112
0.7,5,37.55,6.04,56.4,2084112
0.5,6,60.33,6.04,33.62,2084112
0.55,6,57.24,6.04,36.72,2084112
0.6,6,51.73,6.04,42.23,2084112
0.65,6,47.87,6.04,46.08,2084112
0.7,6,39.37,6.04,54.59,2084112
