feature,mean_abs_shap
cdl_t1,0.45483569168148025
ndvi_mid_mean,0.4365642436780038
ndvi_peak_week,0.4240178525328338
ndvi_late_mean,0.3624894475094638
ndvi_early_mean,0.3541035988159593
ndvi_peak,0.23950471455304484
cdl_t5,0.2249893680312107
smap_mean_gs,0.19575624689204615
ndvi_integral,0.19233423746597084
time_since_last_soy,0.1663926298723781
neigh_frac_soy,0.16150305472146823
sequence_entropy,0.15616074217247577
cdl_t2,0.1549620098658023
neigh_frac_corn,0.15034669234043174
smap_spring_sm,0.14358866312402935
ndvi_base,0.13543828405998232
time_since_last_corn,0.11319292306998394
ndvi_amplitude,0.11038292519805107
pattern_distance,0.09964319749236523
ndvi_greenup_week,0.09386183333888459
cdl_t4,0.07768396671443899
ndvi_mean,0.06486653274508301
frac_years_soy,0.05800876746883546
n_soy_to_corn,0.05692729184945847
ndvi_greenup_slope,0.04979173322623751
smap_pct_wet_weeks,0.04949081872528677
frac_years_corn,0.048647273545829255
cdl_t3,0.04478313804640216
max_run_length,0.03936824996647833
smap_pct_dry_weeks,0.03357735074279637
ndvi_peak_hist_mean,0.027825217741125337
ndvi_peak_week_hist_mean,0.023681150020909657
n_corn_to_soy,0.021236520284061255
n_soy_soy,0.01988474081022494
alternation_score,0.018425122334206505
n_corn_corn,0.017124183233283873
ndvi_peak_hist_std,0.01638733238745614
ndvi_peak_week_hist_std,0.003838787165130288
